id,drug,co_drug,status,note
329,Hydrocortisone,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
330,Hydrocortisone,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
331,Hydrocortisone,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
332,Hydrocortisone,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
333,Hydrocortisone,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
334,Hydrocortisone,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
335,Insulin Human Regular,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
336,Insulin Human Regular,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
337,Insulin Human Regular,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
338,Insulin Human Regular,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
339,Insulin Human Regular,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
340,Insulin Human Regular,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
341,Insulin Human Regular,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
342,Insulin Human Regular,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
343,Insulin Human Regular,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
344,Insulin Human Regular,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
345,Insulin Human Regular,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
346,Insulin Human Regular,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
347,Insulin Human Regular,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
348,Insulin Human Regular,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
349,Insulin Human Regular,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
350,Insulin Human Regular,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
351,Insulin Human Regular,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
352,Insulin Human Regular,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
353,Insulin Human Regular,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
354,Insulin Human Regular,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
355,Insulin Human Regular,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
356,Insulin Human Regular,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
357,Insulin Human Regular,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
358,Insulin Human Regular,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
359,Midazolam,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
360,Midazolam,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
361,Midazolam,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
362,Midazolam,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
363,Midazolam,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
364,Midazolam,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
365,Midazolam,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
366,Midazolam,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
367,Midazolam,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
368,Midazolam,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
369,Midazolam,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
370,Midazolam,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
371,Midazolam,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
372,Midazolam,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
373,Midazolam,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
374,Midazolam,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
375,Midazolam,Phenobarbital,Unknown,ยากด CNS—ควรแยกให้
376,Midazolam,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
377,Midazolam,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
378,Midazolam,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
379,Midazolam,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
380,Morphine,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
381,Morphine,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
382,Morphine,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
383,Morphine,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
384,Morphine,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
385,Morphine,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
386,Morphine,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
387,Morphine,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
388,Morphine,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
389,Morphine,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
390,Morphine,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
391,Morphine,Fentanyl,Unknown,โอปิออยด์ร่วม—แนะนำแยกให้
392,Morphine,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
393,Morphine,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
394,Morphine,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
395,Morphine,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
396,Morphine,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
397,Morphine,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
398,Morphine,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
399,Morphine,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
400,Morphine,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
401,Morphine,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
402,Remdesivir,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
403,Remdesivir,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
404,Remdesivir,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
405,Remdesivir,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
406,Remdesivir,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
407,Remdesivir,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
408,Remdesivir,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
409,Remdesivir,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
410,Remdesivir,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
411,Remdesivir,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
412,Remdesivir,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
413,Remdesivir,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
414,Remdesivir,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
415,Remdesivir,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
416,Remdesivir,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
417,Remdesivir,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
418,Remdesivir,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
419,Remdesivir,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
420,Remdesivir,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
421,Remdesivir,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
422,Remdesivir,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
423,Sulperazone,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
424,Sulperazone,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
425,Sulperazone,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
426,Sulperazone,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
427,Sulperazone,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
428,Sulperazone,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
429,Sulperazone,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
430,Sulperazone,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
431,Sulperazone,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
432,Sulperazone,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
433,Sulperazone,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
434,Sulperazone,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
435,Sulperazone,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
436,Sulperazone,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
437,Sulperazone,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
438,Sulperazone,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
439,Sulperazone,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
440,Sulperazone,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
441,Sulperazone,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
442,Sulperazone,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
443,Tazocin,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
444,Tazocin,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
445,Tazocin,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
446,Tazocin,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
447,Tazocin,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
448,Tazocin,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
449,Tazocin,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
450,Tazocin,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
451,Tazocin,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
452,Tazocin,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
453,Tazocin,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
454,Tazocin,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
455,Tazocin,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
456,Tazocin,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
457,Tazocin,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
458,Tazocin,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
459,Tazocin,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
460,Tazocin,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
461,Tazocin,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
462,Amikacin,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
463,Amikacin,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
464,Amikacin,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
465,Amikacin,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
466,Amikacin,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
467,Amikacin,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
468,Amikacin,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
469,Amikacin,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
470,Amikacin,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
471,Amikacin,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
472,Amikacin,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
473,Amikacin,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
474,Amikacin,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
475,Amikacin,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
476,Amikacin,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
477,Amikacin,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
478,Amikacin,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
479,Aminophylline,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
480,Aminophylline,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
481,Aminophylline,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
482,Aminophylline,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
483,Aminophylline,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
484,Aminophylline,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
485,Aminophylline,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
486,Aminophylline,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
487,Aminophylline,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
488,Aminophylline,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
489,Aminophylline,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
490,Aminophylline,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
491,Aminophylline,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
492,Aminophylline,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
493,Aminophylline,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
494,Aminophylline,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
495,Aminophylline,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
496,Amoxicillin / Clavimoxy,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
497,Amoxicillin / Clavimoxy,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
498,Amoxicillin / Clavimoxy,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
499,Amoxicillin / Clavimoxy,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
500,Amoxicillin / Clavimoxy,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
501,Amoxicillin / Clavimoxy,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
502,Amoxicillin / Clavimoxy,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
503,Amoxicillin / Clavimoxy,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
504,Amoxicillin / Clavimoxy,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
505,Amoxicillin / Clavimoxy,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
506,Amoxicillin / Clavimoxy,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
507,Amoxicillin / Clavimoxy,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
508,Amoxicillin / Clavimoxy,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
509,Amoxicillin / Clavimoxy,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
510,Amoxicillin / Clavimoxy,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
511,Amoxicillin / Clavimoxy,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
512,Cefazolin,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
513,Cefazolin,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
514,Cefazolin,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
515,Cefazolin,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
516,Cefazolin,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
517,Cefazolin,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
518,Cefazolin,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
519,Cefazolin,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
520,Cefazolin,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
521,Cefazolin,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
522,Cefazolin,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
523,Cefazolin,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
524,Cefazolin,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
525,Cefazolin,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
526,Cefazolin,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
527,Colistin,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
528,Colistin,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
529,Colistin,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
530,Colistin,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
531,Colistin,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
532,Colistin,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
533,Colistin,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
534,Colistin,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
535,Colistin,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
536,Colistin,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
537,Colistin,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
538,Colistin,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
539,Colistin,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
540,Colistin,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
541,Dexamethasone,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
542,Dexamethasone,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
543,Dexamethasone,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
544,Dexamethasone,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
545,Dexamethasone,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
546,Dexamethasone,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
547,Dexamethasone,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
548,Dexamethasone,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
549,Dexamethasone,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
550,Dexamethasone,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
551,Dexamethasone,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
552,Dexamethasone,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
553,Dexamethasone,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
554,Dobutamine,Dopamine,Unknown,หลีกเลี่ยงผสมถ้าไม่จำเป็น (vasoactive)
555,Dobutamine,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
556,Dobutamine,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
557,Dobutamine,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
558,Dobutamine,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
559,Dobutamine,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
560,Dobutamine,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
561,Dobutamine,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
562,Dobutamine,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
563,Dobutamine,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
564,Dobutamine,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
565,Dobutamine,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
566,Dopamine,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
567,Dopamine,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
568,Dopamine,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
569,Dopamine,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
570,Dopamine,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
571,Dopamine,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
572,Dopamine,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
573,Dopamine,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
574,Dopamine,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
575,Dopamine,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
576,Dopamine,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
577,Fentanyl,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
578,Fentanyl,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
579,Fentanyl,Nimbex (Cisatracurium),Unknown,ไม่พบข้อมูล Y-site ชัดเจน
580,Fentanyl,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
581,Fentanyl,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
582,Fentanyl,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
583,Fentanyl,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
584,Fentanyl,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
585,Fentanyl,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
586,Fentanyl,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
587,Furosemide,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
588,Furosemide,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
589,Furosemide,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
590,Furosemide,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
591,Furosemide,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
592,Furosemide,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
593,Furosemide,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
594,Furosemide,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
595,Furosemide,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
596,Metronidazole (Flagyl),Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
597,Metronidazole (Flagyl),Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
598,Metronidazole (Flagyl),Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
599,Metronidazole (Flagyl),Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
600,Metronidazole (Flagyl),Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
601,Metronidazole (Flagyl),Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
602,Metronidazole (Flagyl),Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
603,Metronidazole (Flagyl),Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
604,Nimbex (Cisatracurium),Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
605,Nimbex (Cisatracurium),Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
606,Nimbex (Cisatracurium),Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
607,Nimbex (Cisatracurium),Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
608,Nimbex (Cisatracurium),Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
609,Nimbex (Cisatracurium),Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
610,Nimbex (Cisatracurium),Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
611,Omeprazole,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
612,Omeprazole,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
613,Omeprazole,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
614,Omeprazole,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
615,Omeprazole,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
616,Omeprazole,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
617,Penicillin G sodium,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
618,Penicillin G sodium,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
619,Penicillin G sodium,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
620,Penicillin G sodium,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
621,Penicillin G sodium,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
622,Phenobarbital,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
623,Phenobarbital,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
624,Phenobarbital,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
625,Phenobarbital,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
626,Phenytoin (Dilantin),Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
627,Phenytoin (Dilantin),Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
628,Phenytoin (Dilantin),Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
629,Sul-am®,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
630,Sul-am®,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
631,Sulbactam,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
